[rosmaster.main][INFO] 2015-11-26 12:33:48,563: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2015-11-26 12:33:48,563: Starting ROS Master Node
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/r_arm_controller/gains/r_shoulder_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/base_odometry/odom_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/upper_arm_roll_gains/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/diag_agg/analyzers/cameras/analyzers/wide_right/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/head_traj_controller/gains/head_tilt_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PUB [/rosout_agg] /rosout http://c1:53795/
[rosmaster.master][INFO] 2015-11-26 12:33:48,657: +PARAM [/base_hokuyo_node/intensity] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/r_arm_controller/gains/r_shoulder_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/robot/name] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/base_hokuyo_node/port] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/r_forearm_cam_trigger/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/r_arm_controller/joint_trajectory_action_node/joints] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/diag_agg/analyzers/power/timeout] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/base_controller/bl_caster_rotation_joint/position_controller/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/diag_agg/analyzers/computers/analyzers/network/expected] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,658: +PARAM [/diag_agg/analyzers/power/expected] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/narrow_stereo_both/width] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/projector_controller/current] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/r_arm_controller/gains/r_shoulder_lift_joint/proxy/lambda] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/l_arm_controller/joint_trajectory_action_node/constraints/l_shoulder_lift_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/base_controller/b_caster_position_pid_gains/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/narrow_stereo_right/ext_trig] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/torso_controller/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/r_arm_controller/gains/r_elbow_flex_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/narrow_stereo_textured/narrow_stereo_textured_proc/disparity_range] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/diag_agg/analyzers/joints/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,659: +PARAM [/shoulder_pan_gains/proxy/acc_converge] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/l_gripper_controller/pid/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/tf2_buffer_server/buffer_size] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/r_forearm_cam_trigger/digital_output] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/diag_agg/analyzers/cameras/analyzers/forearm_l/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/l_gripper_controller/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/l_gripper_controller/pid/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/diag_agg/analyzers/devices/analyzers/sound/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/r_arm_controller/gains/r_shoulder_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,660: +PARAM [/diag_agg/analyzers/power/startswith] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/l_forearm_cam/imager_rate] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/projector_controller/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/robot/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/l_arm_controller/gains/l_shoulder_lift_joint/proxy/acc_converge] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/base_controller/b_caster_velocity_pid_gains/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/tilt_hokuyo_node/min_ang] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/narrow_stereo_both/imager_rate] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/wide_stereo_both/height] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,661: +PARAM [/diag_agg/analyzers/devices/analyzers/joystick/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +PARAM [/imu_node/autocalibrate] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +PARAM [/l_forearm_cam/camera_url] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +PARAM [/r_forearm_cam_trigger/times] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +PARAM [/l_arm_controller/joint_trajectory_action_node/joints] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +PARAM [/r_arm_controller/gains/r_forearm_roll_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +PARAM [/r_forearm_cam/camera_url] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +PARAM [/base_controller/fr_caster_l_wheel_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +SUB [/rosout] /rosout http://c1:53795/
[rosmaster.master][INFO] 2015-11-26 12:33:48,662: +PARAM [/l_arm_controller/gains/l_shoulder_lift_joint/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/l_arm_controller/gains/l_shoulder_lift_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/diag_agg/analyzers/controllers/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/l_arm_controller/joint_trajectory_action_node/constraints/l_elbow_flex_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/diag_agg/analyzers/computers/analyzers/clocks/expected] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/base_controller/fr_caster_l_wheel_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/base_odometry/cov_xrotation] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/base_controller/fr_caster_l_wheel_joint/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/diag_agg/analyzers/devices/analyzers/sound/contains] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/l_arm_controller/gains/l_shoulder_lift_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/r_arm_controller/gains/r_shoulder_lift_joint/proxy/acc_converge] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/narrow_stereo_both/frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/diag_agg/analyzers/cameras/analyzers/narrow_left/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/l_arm_controller/gains/l_wrist_roll_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,663: +PARAM [/l_arm_controller/gains/l_wrist_flex_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/wrist_roll_gains/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/diag_agg/analyzers/cameras/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/robot_state_publisher/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/r_arm_controller/gains/r_shoulder_lift_joint/mass] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/base_controller/b_caster_velocity_pid_gains/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/base_odometry/caster_calibration_multiplier] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/joy/deadzone] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/joy/dev] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/diag_agg/analyzers/lasers/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/joy/autorepeat_rate] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/laser_tilt_controller/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/base_controller/fr_caster_rotation_joint/velocity_controller/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/base_odometry/odom_frame] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/imu_node/autostart] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/wrist_roll_gains/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,664: +PARAM [/ocean_server/number_of_ports] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/diag_agg/analyzers/cameras/analyzers/wide_left/num_items] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/r_arm_controller/joint_trajectory_action_node/constraints/r_shoulder_pan_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/l_arm_controller/gains/l_shoulder_pan_joint/mass] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/l_forearm_cam/frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/torso_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/prosilica_inhibit_projector_controller/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/diag_agg/analyzers/power/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/diag_agg/analyzers/motors/startswith] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/head_camera_trigger/values] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/laser_tilt_controller/joint] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/diag_agg/analyzers/cameras/analyzers/wide_left/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/base_hokuyo_node/skip] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/diag_agg/analyzers/cameras/analyzers/narrow_left/num_items] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/base_controller/fl_caster_rotation_joint/velocity_controller/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/wide_stereo_both/width] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/base_odometry/base_link_frame] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/shoulder_lift_gains/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,665: +PARAM [/r_arm_controller/gains/r_shoulder_lift_joint/proxy/effort_limit] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/diag_agg/analyzers/joints/startswith] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/shoulder_lift_gains/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/forearm_roll_gains/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/base_controller/fr_caster_rotation_joint/position_controller/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/base_controller/fl_caster_l_wheel_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/base_controller/max_rotational_acceleration] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/wrist_flex_gains/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/l_forearm_cam_trigger/values] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/l_forearm_cam_trigger/topics] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/base_controller/fr_caster_r_wheel_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/base_controller/fl_caster_l_wheel_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/base_odometry/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/narrow_stereo_both/camera_nodes] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/narrow_stereo_both/trig_timestamp_topic] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/base_controller/wheel_velocity_filter/name] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/l_arm_controller/gains/l_forearm_roll_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,666: +PARAM [/base_controller/caster_velocity_filter/params/b] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/base_controller/caster_velocity_filter/params/a] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/base_controller/caster_velocity_filter/name] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/r_arm_controller/gains/r_elbow_flex_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/tilt_hokuyo_node/frame_id] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/projector_trigger/topics] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/r_arm_controller/gains/r_elbow_flex_joint/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/diag_agg/analyzers/cameras/analyzers/forearm_l/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/diag_agg/analyzers/cameras/analyzers/narrow_right/find_and_remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/laser_tilt_controller/gains/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/base_controller/f_caster_velocity_pid_gains/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/r_arm_controller/gains/r_elbow_flex_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/base_odometry/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/l_arm_controller/gains/l_shoulder_lift_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/diag_agg/analyzers/devices/analyzers/sound/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/base_odometry/cov_yrotation] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/shoulder_lift_gains/proxy/acc_converge] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/forearm_roll_gains/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,667: +PARAM [/narrow_stereo_right/trig_timestamp_topic] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/l_forearm_cam/ext_trig] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/realtime_cpu_monitor/check_core_temps] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/diag_agg/analyzers/lasers/analyzers/tilt_hk/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/forearm_roll_gains/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/diag_agg/analyzers/lasers/analyzers/base_hk/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/r_arm_controller/joint_trajectory_action_node/constraints/r_wrist_roll_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/robot_pose_ekf/freq] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/l_arm_controller/gains/l_shoulder_pan_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/tilt_hokuyo_node/port] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/diag_agg/analyzers/lasers/analyzers/base_hk/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/diag_agg/analyzers/devices/analyzers/joystick/remove_prefix] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/r_arm_controller/gains/r_shoulder_pan_joint/mass] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/diag_agg/analyzers/power/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/base_controller/publish_tf] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/diag_agg/analyzers/devices/analyzers/joystick/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,668: +PARAM [/tilt_hokuyo_node/max_ang] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/wide_stereo_both/first_packet_offset] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/wide_stereo_both/rotate_180] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/base_controller/b_caster_position_pid_gains/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/base_controller/timeout] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/wrist_roll_gains/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/base_controller/b_caster_position_pid_gains/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/base_controller/fr_caster_l_wheel_joint/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/wrist_roll_gains/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/base_controller/b_caster_position_pid_gains/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/base_controller/state_publish_rate] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/prosilica_driver/trigger_mode] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/robot_pose_ekf/imu_used] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/l_arm_controller/joint_trajectory_action_node/constraints/l_forearm_roll_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/base_controller/fl_caster_rotation_joint/position_controller/i_clamp] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/r_arm_controller/joints] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/base_hokuyo_node/min_ang] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,669: +PARAM [/diag_agg/analyzers/lasers/path] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/diag_agg/analyzers/computers/analyzers/network/num_items] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/diag_agg/analyzers/devices/analyzers/sound/num_items] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/shoulder_lift_gains/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/prosilica_inhibit_projector_controller/period] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/l_arm_controller/joint_trajectory_action_node/constraints/l_wrist_flex_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/l_arm_controller/gains/l_upper_arm_roll_joint/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/r_arm_controller/joint_trajectory_action_node/constraints/r_upper_arm_roll_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/l_arm_controller/gains/l_shoulder_pan_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/shoulder_pan_gains/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/l_forearm_cam_trigger/type] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/ocean_server/debug_level] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/two_cpu_monitor/check_core_temps] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/shoulder_pan_gains/proxy/effort_limit] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/l_arm_controller/gains/l_upper_arm_roll_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/shoulder_pan_gains/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/narrow_stereo_both/height] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/l_arm_controller/gains/l_upper_arm_roll_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,670: +PARAM [/base_controller/bl_caster_r_wheel_joint/p] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,671: +PARAM [/shoulder_pan_gains/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,671: +PARAM [/laser_tilt_controller/velocity_filter] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,671: +PARAM [/base_controller/fl_caster_r_wheel_joint/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,671: +PARAM [/base_controller/wheel_pid_gains/d] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,671: +PARAM [/base_controller/wheel_pid_gains/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,671: +PARAM [/l_arm_controller/joint_trajectory_action_node/constraints/l_shoulder_pan_joint/goal] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,671: +PARAM [/base_controller/fl_caster_r_wheel_joint/i] by /roslaunch
[rosmaster.master][INFO] 2015-11-26 12:33:48,671: +PARAM [/base_controller/wheel_pid_gains/p] by /roslaunch
